,weekly_r_gross,weekly_r_net,costs
2024-01-12,0.00853514,0.00853514,0.00000000
2024-01-19,-0.00763855,-0.00763855,0.00000000
2024-01-26,0.00743100,0.00743100,0.00000000
2024-02-02,0.00362272,0.00362272,0.00000000
2024-02-09,0.00048510,0.00048510,0.00000000
2024-02-16,-0.00356472,-0.00356472,0.00000000
2024-02-23,0.00662477,0.00662477,0.00000000
2024-03-01,0.01286060,0.01286060,0.00000000
2024-03-08,0.00860526,0.00860526,0.00000000
2024-03-15,-0.00904435,-0.00904435,0.00000000
2024-03-22,0.01098817,0.01098817,0.00000000
2024-04-05,0.00730261,0.00730261,0.00000000
2024-04-12,-0.01189100,-0.01189100,0.00000000
2024-04-19,-0.01915112,-0.01915112,0.00000000
2024-04-26,0.01592616,0.01592616,0.00000000
2024-05-03,0.00885597,0.00885597,0.00000000
2024-05-10,0.01064892,0.01064892,0.00000000
2024-05-17,0.01585046,0.01585046,0.00000000
2024-05-24,-0.00737566,-0.00737566,0.00000000
2024-05-31,-0.00428087,-0.00428087,0.00000000
2024-06-07,-0.00028163,-0.00028163,0.00000000
2024-06-14,0.01306402,0.01306402,0.00000000
2024-06-21,0.00251886,0.00251886,0.00000000
2024-06-28,-0.00119365,-0.00119365,0.00000000
2024-07-05,0.01509773,0.01509773,0.00000000
2024-07-12,0.01772010,0.01772010,0.00000000
2024-07-19,-0.01320001,-0.01320001,0.00000000
2024-07-26,-0.00180211,-0.00180211,0.00000000
2024-08-02,-0.00387406,-0.00387406,0.00000000
2024-08-09,0.00083777,0.00083777,0.00000000
2024-08-16,0.02332878,0.02332878,0.00000000
2024-08-23,0.01483211,0.01483211,0.00000000
2024-08-30,-0.00493404,-0.00493404,0.00000000
2024-09-06,-0.01049447,-0.01049447,0.00000000
2024-09-13,0.02890666,0.02890666,0.00000000
2024-09-20,0.00821430,0.00821430,0.00000000
2024-09-27,0.00868542,0.00868542,0.00000000
2024-10-04,-0.00346373,-0.00346373,0.00000000
2024-10-11,-0.00354245,-0.00354245,0.00000000
2024-10-18,0.00165721,0.00165721,0.00000000
2024-10-25,-0.00939536,-0.00939536,0.00000000
2024-11-01,-0.01075046,-0.01075046,0.00000000
2024-11-08,0.01866790,0.01866790,0.00000000
2024-11-15,-0.02807934,-0.02807934,0.00000000
2024-11-22,0.01958195,0.01958195,0.00000000
2024-11-29,0.01036866,0.01036866,0.00000000
2024-12-06,0.00118104,0.00118104,0.00000000
2024-12-13,-0.00808299,-0.00808299,0.00000000
2024-12-20,-0.02002286,-0.02002286,0.00000000
2024-12-27,0.00192999,0.00192999,0.00000000
2025-01-03,0.00221524,0.00221524,0.00000000
2025-01-10,-0.00880175,-0.00880175,0.00000000
2025-01-17,0.02397943,0.02397943,0.00000000
2025-01-24,0.01078208,0.01078208,0.00000000
2025-01-31,-0.00332722,-0.00332722,0.00000000
2025-02-07,0.00665928,0.00665928,0.00000000
2025-02-14,0.01112295,0.01112295,0.00000000
2025-02-21,-0.00182050,-0.00182050,0.00000000
2025-02-28,-0.00997622,-0.00997622,0.00000000
2025-03-07,-0.00157353,-0.00157353,0.00000000
2025-03-14,-0.00521336,-0.00521336,0.00000000
2025-03-21,0.00529134,0.00529134,0.00000000
2025-03-28,-0.00507739,-0.00507739,0.00000000
2025-04-04,-0.06197136,-0.06197136,0.00000000
2025-04-11,0.02187615,0.02187615,0.00000000
2025-04-25,0.03120841,0.03120841,0.00000000
2025-05-02,0.00863848,0.00863848,0.00000000
2025-05-09,0.00063090,0.00063090,0.00000000
2025-05-16,0.01795490,0.01795490,0.00000000
2025-05-23,-0.00163758,-0.00163758,0.00000000
2025-05-30,0.00872042,0.00872042,0.00000000
2025-06-06,0.01399565,0.01399565,0.00000000
2025-06-13,0.00966866,0.00966866,0.00000000
2025-06-20,-0.00034327,-0.00034327,0.00000000
2025-06-27,0.01249067,0.01249067,0.00000000
2025-07-11,0.00829153,0.00829153,0.00000000
2025-07-18,0.00201682,0.00201682,0.00000000
2025-07-25,0.00855106,0.00855106,0.00000000
2025-08-01,-0.01133483,-0.01133483,0.00000000
2025-08-08,0.01557942,0.01557942,0.00000000
